Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1,design_1_i/system_ila_0/inst/probe2_1,design_1_i/system_ila_0/inst/probe3_1[31:0],design_1_i/system_ila_0/inst/probe4_1[63:0],design_1_i/system_ila_0/inst/probe5_1[15:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,design_1_i/system_ila_0/inst/net_slot_3_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_3_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_3_axis_tlast,design_1_i/system_ila_0/inst/net_slot_4_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_4_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_4_axis_tlast,design_1_i/system_ila_0/inst/net_slot_5_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_5_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_5_axis_tready,design_1_i/system_ila_0/inst/net_slot_5_axis_tlast,design_1_i/system_ila_0/inst/net_slot_6_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_6_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_6_axis_tlast,design_1_i/system_ila_0/inst/net_slot_7_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_7_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_7_axis_tlast,design_1_i/system_ila_0/inst/net_slot_8_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_8_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_8_axis_tready,design_1_i/system_ila_0/inst/net_slot_8_axis_tlast,design_1_i/system_ila_0/inst/net_slot_9_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_9_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_9_axis_tlast,Interface_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],Interface_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],Interface_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],Interface_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],Interface_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],Interface_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],Interface_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],Interface_(i1:s7)_(iq_split_0_m_axis_i)[2:0],Interface_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s9)_(iq_split_0_m_axis_q)[2:0],T_Channel_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],T_Channel_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],T_Channel_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],T_Channel_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],T_Channel_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],T_Channel_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],T_Channel_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],T_Channel_(i1:s7)_(iq_split_0_m_axis_i)[2:0],T_Channel_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s9)_(iq_split_0_m_axis_q)[2:0]
1280,1280,0,0,0,0,00000004,0075003e011d01a3,00b8,f146,1,0,ffe00069,1,0,fe9f007500ba003e0147011d004101a3,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365a0000365a0000365a0000365a,1,0,fe71,0,0,0,fe71,0,0,0075003e011d01a3,1,0,413800b8,0,1,0,fe9f00ba01470041,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1281,1281,0,0,0,0,00000004,00af0198018f013e,00b8,01d5,1,0,001c006e,1,0,016400af00f10198ffe4018fff2f013e,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365b0000365b0000365b0000365b,1,0,fe71,0,0,0,fe71,0,0,00af0198018f013e,1,0,413800b8,0,1,0,016400f1ffe4ff2f,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1282,1282,0,0,0,0,00000004,0192019601020026,00b8,0b38,1,0,002d00a2,1,0,004f0192ff960196fea70102ff0c0026,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365b0000365b0000365b0000365b,1,0,fe71,0,0,0,fe71,0,0,0192019601020026,1,0,413800b8,0,1,0,004fff96fea7ff0c,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1283,1283,0,0,0,0,00000004,014d00770037011a,00b8,f575,1,0,ffb3008a,1,0,ff46014dfeab0077009b00370168011a,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365c0000365c0000365c0000365c,1,0,fe71,0,0,0,fe71,0,0,014d00770037011a,1,0,413800b8,0,1,0,ff46feab009b0168,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1284,1284,0,0,0,0,00000004,002d0096017f0192,00b8,f784,1,0,fffe0062,1,0,fed6002d01380096010a017fffe90192,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365c0000365c0000365c0000365c,1,0,fe71,0,0,0,fe71,0,0,002d0096017f0192,1,0,413800b8,0,1,0,fed60138010affe9,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1285,1285,0,0,0,0,00000004,00fd018e018f0105,00b8,0483,1,0,0020007a,1,0,016900fd0061018effa7018ffece0105,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365d0000365d0000365d0000365d,1,0,fe71,0,0,0,fe71,0,0,00fd018e018f0105,1,0,413800b8,0,1,0,01690061ffa7fece,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1286,1286,0,0,0,0,00000004,01b3015800910031,00b8,0802,1,0,000700a3,1,0,fff301b3ff5e0158fe8a009100670031,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365d0000365d0000365d0000365d,1,0,fe71,0,0,0,fe71,0,0,01b3015800910031,1,0,413800b8,0,1,0,fff3ff5efe8a0067,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1287,1287,0,0,0,0,00000004,01220039007a0188,00b8,f277,1,0,ffc80079,1,0,fed40122feb400390102007a01360188,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365e0000365e0000365e0000365e,1,0,fe71,0,0,0,fe71,0,0,01220039007a0188,1,0,413800b8,0,1,0,fed4feb401020136,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1288,1288,0,0,0,0,00000004,002600e6018f0192,00b8,f9fb,1,0,fff8006b,1,0,002c0026016400e6007b018fffb10192,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365e0000365e0000365e0000365e,1,0,fe71,0,0,0,fe71,0,0,002600e6018f0192,1,0,413800b8,0,1,0,002c0164007bffb1,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1289,1289,0,0,0,0,00000004,017f01ae018300ae,00b8,0b58,1,0,00370085,1,0,0154017f000201aeff5d0183fe7b00ae,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000365f0000365f0000365f0000365f,1,0,fe71,0,0,0,fe71,0,0,017f01ae018300ae,1,0,413800b8,0,1,0,01540002ff5dfe7b,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
