Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1,design_1_i/system_ila_0/inst/probe2_1,design_1_i/system_ila_0/inst/probe3_1[31:0],design_1_i/system_ila_0/inst/probe4_1[63:0],design_1_i/system_ila_0/inst/probe5_1[15:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,design_1_i/system_ila_0/inst/net_slot_3_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_3_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_3_axis_tlast,design_1_i/system_ila_0/inst/net_slot_4_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_4_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_4_axis_tlast,design_1_i/system_ila_0/inst/net_slot_5_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_5_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_5_axis_tready,design_1_i/system_ila_0/inst/net_slot_5_axis_tlast,design_1_i/system_ila_0/inst/net_slot_6_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_6_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_6_axis_tlast,design_1_i/system_ila_0/inst/net_slot_7_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_7_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_7_axis_tlast,design_1_i/system_ila_0/inst/net_slot_8_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_8_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_8_axis_tready,design_1_i/system_ila_0/inst/net_slot_8_axis_tlast,design_1_i/system_ila_0/inst/net_slot_9_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_9_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_9_axis_tlast,Interface_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],Interface_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],Interface_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],Interface_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],Interface_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],Interface_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],Interface_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],Interface_(i1:s7)_(iq_split_0_m_axis_i)[2:0],Interface_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s9)_(iq_split_0_m_axis_q)[2:0],T_Channel_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],T_Channel_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],T_Channel_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],T_Channel_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],T_Channel_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],T_Channel_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],T_Channel_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],T_Channel_(i1:s7)_(iq_split_0_m_axis_i)[2:0],T_Channel_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s9)_(iq_split_0_m_axis_q)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,00000004,01aa018901100042,00a8,0bb9,1,0,0030009e,1,0,007f01aaffcb0189fedd0110fef80042,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003675000036750000367500003675,1,0,fe71,0,0,0,fe71,0,0,01aa018901100042,1,0,413000a8,0,1,0,007fffcbfeddfef8,1,0,"_","_","_","_","_","Inactive","Inactive","_","_","_","_","_","_","_","_","No Streams","No Streams","_","_","_"
1,1,0,0,0,0,00000004,018700aa002c00f4,00a8,fadb,1,0,ffc30090,1,0,ff6d0187fe7e00aaffb3002c01a000f4,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003675000036750000367500003675,1,0,fe71,0,0,0,fe71,0,0,018700aa002c00f4,1,0,413000a8,0,1,0,ff6dfe7effb301a0,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
2,2,0,0,0,0,00000004,0043006c01440185,00a8,f17f,1,0,ffe7006a,1,0,fee00043010e006c012e014400040185,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003675000036750000367500003675,1,0,fe71,0,0,0,fe71,0,0,0043006c01440185,1,0,413000a8,0,1,0,fee0010e012e0004,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
3,3,0,0,0,0,00000004,00f201c201910129,00a8,0285,1,0,0024006f,1,0,019800f200b801c2ffc80191fef60129,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003676000036760000367600003676,1,0,fe71,0,0,0,fe71,0,0,00f201c201910129,1,0,413000a8,0,1,0,019800b8ffc8fef6,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
4,4,0,0,0,0,00000004,0199016200d00017,00a8,0a8b,1,0,002100ad,1,0,00270199ff7c0162fe9000d0ff840017,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003676000036760000367600003676,1,0,fe71,0,0,0,fe71,0,0,0199016200d00017,1,0,413000a8,0,1,0,0027ff7cfe90ff84,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
5,5,0,0,0,0,00000004,0134005c005a014a,00a8,f207,1,0,ffb6007c,1,0,ff0b0134feb5005c0102005a0144014a,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003676000036760000367600003676,1,0,fe71,0,0,0,fe71,0,0,0134005c005a014a,1,0,413000a8,0,1,0,ff0bfeb501020144,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
6,6,0,0,0,0,00000004,001e00cb01b60178,00a8,f685,1,0,00000066,1,0,ff5d001e017b00cb00cf01b6ffd70178,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003677000036770000367700003677,1,0,fe71,0,0,0,fe71,0,0,001e00cb01b60178,1,0,413000a8,0,1,0,ff5d017b00cfffd7,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
7,7,0,0,0,0,00000004,011c017e018200e0,00a8,0703,1,0,002f0082,1,0,0133011c0033017eff830182fe9800e0,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003677000036770000367700003677,1,0,fe71,0,0,0,fe71,0,0,011c017e018200e0,1,0,413000a8,0,1,0,01330033ff83fe98,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
8,8,0,0,0,0,00000004,018d014f006c003d,00a8,05d3,1,0,fff0009f,1,0,ffe8018dff0a014ffeb7006c00bc003d,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003677000036770000367700003677,1,0,fe71,0,0,0,fe71,0,0,018d014f006c003d,1,0,413000a8,0,1,0,ffe8ff0afeb700bc,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
9,9,0,0,0,0,00000004,00ec002a00b701ae,00a8,f0cc,1,0,ffcc0070,1,0,fea100ecff39002a017f00b700e201ae,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003678000036780000367800003678,1,0,fe71,0,0,0,fe71,0,0,00ec002a00b701ae,1,0,413000a8,0,1,0,fea1ff39017f00e2,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
10,10,0,0,0,0,00000004,003900f90191017d,00a8,fe2b,1,0,0007006f,1,0,00930039013900f900400191ff9e017d,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003678000036780000367800003678,1,0,fe71,0,0,0,fe71,0,0,003900f90191017d,1,0,413000a8,0,1,0,009301390040ff9e,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
11,11,0,0,0,0,00000004,01a3019a0156007a,00a8,0ae3,1,0,00350088,1,0,010801a3ffe8019aff300156fe96007a,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003679000036790000367900003679,1,0,fe71,0,0,0,fe71,0,0,01a3019a0156007a,1,0,413000a8,0,1,0,0108ffe8ff30fe96,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
12,12,0,0,0,0,00000004,01a900f100320098,00a8,ffda,1,0,ffd600a1,1,0,ffa201a9fec000f1fef2003201480098,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003679000036790000367900003679,1,0,fe71,0,0,0,fe71,0,0,01a900f100320098,1,0,413000a8,0,1,0,ffa2fec0fef20148,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
13,13,0,0,0,0,00000004,0085003300ff01a4,00a8,ef5d,1,0,ffd3006c,1,0,fe97008500610033016300ff005501a4,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003679000036790000367900003679,1,0,fe71,0,0,0,fe71,0,0,0085003300ff01a4,1,0,413000a8,0,1,0,fe97006101630055,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
14,14,0,0,0,0,00000004,00990181019d015e,00a8,0343,1,0,0016006b,1,0,0159009901160181fff4019dff48015e,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367a0000367a0000367a0000367a,1,0,fe71,0,0,0,fe71,0,0,00990181019d015e,1,0,413000a8,0,1,0,01590116fff4ff48,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
15,15,0,0,0,0,00000004,017b0181011a0039,00a8,0bc1,1,0,003500a2,1,0,006b017bffb10181fec4011afec40039,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367a0000367a0000367a0000367a,1,0,fe71,0,0,0,fe71,0,0,017b0181011a0039,1,0,413000a8,0,1,0,006bffb1fec4fec4,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
16,16,0,0,0,0,00000004,017a00a7001f00eb,00a8,f745,1,0,ffb40089,1,0,ff48017afe8d00a70035001f015400eb,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367a0000367a0000367a0000367a,1,0,fe71,0,0,0,fe71,0,0,017a00a7001f00eb,1,0,413000a8,0,1,0,ff48fe8d00350154,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
17,17,0,0,0,0,00000004,003d0073017701b2,00a8,f4b7,1,0,ffeb0065,1,0,fec1003d010a007301300177000701b2,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367b0000367b0000367b0000367b,1,0,fe71,0,0,0,fe71,0,0,003d0073017701b2,1,0,413000a8,0,1,0,fec1010a01300007,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
18,18,0,0,0,0,00000004,00e3016d017b013b,00a8,01f4,1,0,0020007b,1,0,016700e3007f016dffba017bfed0013b,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367b0000367b0000367b0000367b,1,0,fe71,0,0,0,fe71,0,0,00e3016d017b013b,1,0,413000a8,0,1,0,0167007fffbafed0,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
19,19,0,0,0,0,00000004,019c017500c1001d,00a8,0972,1,0,000e00a0,1,0,000a019cff6c0175fe7400c1fff4001d,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367c0000367c0000367c0000367c,1,0,fe71,0,0,0,fe71,0,0,019c017500c1001d,1,0,413000a8,0,1,0,000aff6cfe74fff4,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
20,20,0,0,0,0,00000004,013f004800680163,00a8,f327,1,0,ffbb007d,1,0,feee013ffea9004800e70068014d0163,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367c0000367c0000367c0000367c,1,0,fe71,0,0,0,fe71,0,0,013f004800680163,1,0,413000a8,0,1,0,feeefea900e7014d,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
21,21,0,0,0,0,00000004,002400cf01680184,00a8,f8a4,1,0,fff9006a,1,0,ffeb0024017400cf008d0168ffc80184,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367c0000367c0000367c0000367c,1,0,fe71,0,0,0,fe71,0,0,002400cf01680184,1,0,413000a8,0,1,0,ffeb0174008dffc8,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
22,22,0,0,0,0,00000004,015601ac016f00d1,00a8,0a0b,1,0,0036007b,1,0,015a0156002101acff84016ffe7900d1,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367d0000367d0000367d0000367d,1,0,fe71,0,0,0,fe71,0,0,015601ac016f00d1,1,0,413000a8,0,1,0,015a0021ff84fe79,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
23,23,0,0,0,0,00000004,0189014500590047,00a8,0604,1,0,ffef00a8,1,0,ffd40189ff040145feaa005900a30047,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367d0000367d0000367d0000367d,1,0,fe71,0,0,0,fe71,0,0,0189014500590047,1,0,413000a8,0,1,0,ffd4ff04feaa00a3,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
24,24,0,0,0,0,00000004,00dd001f00ba0176,00a8,eecc,1,0,ffc4006d,1,0,fe9200ddffbb001f016400ba00b00176,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367d0000367d0000367d0000367d,1,0,fe71,0,0,0,fe71,0,0,00dd001f00ba0176,1,0,413000a8,0,1,0,fe92ffbb016400b0,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
25,25,0,0,0,0,00000004,0044015401a60185,00a8,0004,1,0,000c0065,1,0,008c004401820154002f01a6ff8d0185,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367e0000367e0000367e0000367e,1,0,fe71,0,0,0,fe71,0,0,0044015401a60185,1,0,413000a8,0,1,0,008c0182002fff8d,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
26,26,0,0,0,0,00000004,01720193015d0067,00a8,0b19,1,0,00390098,1,0,00c80172ffdd0193ff14015dfe960067,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367e0000367e0000367e0000367e,1,0,fe71,0,0,0,fe71,0,0,01720193015d0067,1,0,413000a8,0,1,0,00c8ffddff14fe96,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
27,27,0,0,0,0,00000004,018200e1002400a4,00a8,fcd3,1,0,ffc90099,1,0,ffa80182fea500e1ffae0024015c00a4,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367f0000367f0000367f0000367f,1,0,fe71,0,0,0,fe71,0,0,018200e1002400a4,1,0,413000a8,0,1,0,ffa8fea5ffae015c,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
28,28,0,0,0,0,00000004,0075003c014b01b3,00a8,f20e,1,0,ffea0065,1,0,fe8700750054003c01a6014b003d01b3,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,0000367f0000367f0000367f0000367f,1,0,fe71,0,0,0,fe71,0,0,0075003c014b01b3,1,0,413000a8,0,1,0,fe87005401a6003d,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
29,29,0,0,0,0,00000004,0093016b01950158,00a8,0205,1,0,00170075,1,0,014b009300e4016bffe70195ff380158,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003680000036800000368000003680,1,0,fe71,0,0,0,fe71,0,0,0093016b01950158,1,0,413000a8,0,1,0,014b00e4ffe7ff38,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
30,30,0,0,0,0,00000004,01ac018c010b002d,00a8,0be8,1,0,0029009d,1,0,005401acffb0018cfe9e010bff3b002d,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003680000036800000368000003680,1,0,fe71,0,0,0,fe71,0,0,01ac018c010b002d,1,0,413000a8,0,1,0,0054ffb0fe9eff3b,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
31,31,0,0,0,0,00000004,015c00950031013d,00a8,f7d5,1,0,ffbb008e,1,0,ff4b015cfe6e00950026003101b7013d,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003680000036800000368000003680,1,0,fe71,0,0,0,fe71,0,0,015c00950031013d,1,0,413000a8,0,1,0,ff4bfe6e002601b7,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
32,32,0,0,0,0,00000004,00380070014d019d,00a8,f35e,1,0,fff2006b,1,0,ff2f0038011e007000e7014dfff9019d,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003681000036810000368100003681,1,0,fe71,0,0,0,fe71,0,0,00380070014d019d,1,0,413000a8,0,1,0,ff2f011e00e7fff9,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
33,33,0,0,0,0,00000004,010301ad018600f4,00a8,0683,1,0,00250072,1,0,01900103006b01adffc10186fed500f4,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003681000036810000368100003681,1,0,fe71,0,0,0,fe71,0,0,010301ad018600f4,1,0,413000a8,0,1,0,0190006bffc1fed5,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
34,34,0,0,0,0,00000004,01a5018100a50028,00a8,0a1b,1,0,001200a5,1,0,000401a5ff500181fe7500a5ffdc0028,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003681000036810000368100003681,1,0,fe71,0,0,0,fe71,0,0,01a5018100a50028,1,0,413000a8,0,1,0,0004ff50fe75ffdc,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
35,35,0,0,0,0,00000004,011f003c006f0139,00a8,efcd,1,0,ffb4007e,1,0,fed7011fff06003c011d006f00fc0139,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003682000036820000368200003682,1,0,fe71,0,0,0,fe71,0,0,011f003c006f0139,1,0,413000a8,0,1,0,fed7ff06011d00fc,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
36,36,0,0,0,0,00000004,001f00fd01900172,00a8,f97b,1,0,fffe0060,1,0,ff9a001f019a00fd00820190ffc90172,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003682000036820000368200003682,1,0,fe71,0,0,0,fe71,0,0,001f00fd01900172,1,0,413000a8,0,1,0,ff9a019a0082ffc9,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
37,37,0,0,0,0,00000004,0146018b016e00aa,00a8,082a,1,0,002f0083,1,0,012101460014018bff6c016efe9a00aa,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003683000036830000368300003683,1,0,fe71,0,0,0,fe71,0,0,0146018b016e00aa,1,0,413000a8,0,1,0,01210014ff6cfe9a,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
38,38,0,0,0,0,00000004,01820134004f0063,00a8,02cc,1,0,ffe7009d,1,0,ffd00182fee60134fed9004f01180063,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003683000036830000368300003683,1,0,fe71,0,0,0,fe71,0,0,01820134004f0063,1,0,413000a8,0,1,0,ffd0fee6fed90118,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
39,39,0,0,0,0,00000004,00dc001e00e001a7,00a8,efdd,1,0,ffd4006d,1,0,fe7100dcff72001e018900e000aa01a7,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003683000036830000368300003683,1,0,fe71,0,0,0,fe71,0,0,00dc001e00e001a7,1,0,413000a8,0,1,0,fe71ff72018900aa,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
40,40,0,0,0,0,00000004,0058012d01960177,00a8,fdea,1,0,00020070,1,0,01020058012e012d00220196ff7d0177,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003684000036840000368400003684,1,0,fe71,0,0,0,fe71,0,0,0058012d01960177,1,0,413000a8,0,1,0,0102012e0022ff7d,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
41,41,0,0,0,0,00000004,01aa0184013d005a,00a8,0d40,1,0,00390092,1,0,00c501aaffdd0184fefe013dfec9005a,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003684000036840000368400003684,1,0,fe71,0,0,0,fe71,0,0,01aa0184013d005a,1,0,413000a8,0,1,0,00c5ffddfefefec9,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
42,42,0,0,0,0,00000004,017f00e0002300c1,00a8,fccb,1,0,ffcd0098,1,0,ff8b017ffe9200e0ff540023017500c1,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003684000036840000368400003684,1,0,fe71,0,0,0,fe71,0,0,017f00e0002300c1,1,0,413000a8,0,1,0,ff8bfe92ff540175,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
43,43,0,0,0,0,00000004,006a00440114019b,00a8,efec,1,0,ffdc0068,1,0,feab006a00c10044013701140034019b,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003685000036850000368500003685,1,0,fe71,0,0,0,fe71,0,0,006a00440114019b,1,0,413000a8,0,1,0,feab00c101370034,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
